"NUMBER","LINKS"
0,"https://ak.wikipedia.org/
"
1,"https://arc.wikipedia.org/
"
2,"https://ba.wikipedia.org/
"
3,"https://be.wikipedia.org/
"
4,"https://bi.wikipedia.org/
"
5,"https://bpy.wikipedia.org/
"
6,"https://cbk-zam.wikipedia.org/
"
7,"https://cs.wikipedia.org/
"
8,"https://da.wikipedia.org/
"
9,"https://el.wikipedia.org/
"
10,"https://en.wikipedia.org/wiki/Aromanian_language
"
11,"https://et.wikipedia.org/
"
12,"https://fiu-vro.wikipedia.org/
"
13,"https://fiu-vro.wikipedia.org/wiki/Wikipedia:P%C3%A4%C3%A4leht
"
14,"https://fo.wikipedia.org/
"
15,"https://frp.wikipedia.org/wiki/
"
16,"https://gl.wikipedia.org/
"
17,"https://got.wikipedia.org/
"
18,"https://hif.wikipedia.org/
"
19,"https://hu.wikipedia.org/
"
20,"https://ia.wikipedia.org/
"
21,"https://ie.wikipedia.org/
"
22,"https://ik.wikipedia.org/
"
23,"https://ja.wikipedia.org/
"
24,"https://kg.wikipedia.org/
"
25,"https://kk.wikipedia.org/
"
26,"https://km.wikipedia.org/
"
27,"https://ko.wikipedia.org/wiki/%EC%9C%84%ED%82%A4%EB%B0%B1%EA%B3%BC:%EB%8C%80%EB%AC%B8
"
28,"https://krc.wikipedia.org/
"
29,"https://ku.wikipedia.org/
"
30,"https://lad.wikipedia.org/
"
31,"https://lez.wikipedia.org/
"
32,"https://li.wikipedia.org/
"
33,"https://lmo.wikipedia.org/
"
34,"https://mai.wikipedia.org/
"
35,"https://mg.wikipedia.org/
"
36,"https://mk.wikipedia.org/
"
37,"https://mr.wikipedia.org/
"
38,"https://mwl.wikipedia.org/
"
39,"https://no.wikipedia.org/
"
40,"https://nso.wikipedia.org/
"
41,"https://oc.wikipedia.org/
"
42,"https://pag.wikipedia.org/
"
43,"https://pt.wikipedia.org/
"
44,"https://rmy.wikipedia.org/
"
45,"https://ru.wikipedia.org/
"
46,"https://sa.wikipedia.org/
"
47,"https://sh.wikipedia.org/wiki/
"
48,"https://sl.wikipedia.org/
"
49,"https://sv.wikipedia.org/wiki/freden_i_Traventhal
"
50,"https://te.wikipedia.org/
"
51,"https://tr.wikipedia.org/
"
52,"https://tt.wikipedia.org/
"
53,"https://ug.wikipedia.org/
"
54,"https://vo.wikipedia.org/wiki/
"
55,"https://www.wikipedia.org/
"
56,"https://www.wikipedia.org/w/index.php?title=%D7%A4%D7%95%D7%9C%D7%99%D7%98%D7%99%D7%A7%D7%94&action=edit&redlink=1
"
57,"https://www.wikipedia.org/w/index.php?title=1811&action=history
"
58,"https://www.wikipedia.org/w/index.php?title=Mani&action=edit&redlink=1
"
59,"https://www.wikipedia.org/w/index.php?title=Te_%C3%B2hipa_r%C4%81tere&action=edit&redlink=1
"
